C (MLE),N_C,C*
1,53838,0.5038
2,13563,1.4955
3,6761,2.4411
4,4126,3.4695
5,2863,4.642
6,2215,5.126
7,1622,6.5845
8,1335,7.3146
9,1085,8.9862
10,975,9.0821
11,805,10.4348
12,700,11.6814
13,629,13.1542
14,591,12.6142
15,497,14.2938
16,444,14.6644
17,383,19.7859
18,421,16.7435
19,371,17.035
20,316,21.1994
21,319,18.6207
22,270,22.5741
23,265,24.3623
24,269,20.7249
25,223,24.7175
26,212,28.783
27,226,23.0442
28,186,31.4946
29,202,23.4653
30,158,32.5696
31,166,29.1084
32,151,31.9073
33,146,28.1781
34,121,40.4959
35,140,30.0857
36,117,34.7863
37,110,35.2364
38,102,42.4412
39,111,37.1171
40,103,40.6019
41,102,42.4118
42,103,38.8252
43,93,44.0
44,93,42.5806
45,88,49.1364
46,94,39.0
47,78,45.5385
48,74,60.2568
49,91,40.1099
50,73,37.0274
51,53,71.6226
52,73,39.2055
53,54,62.0
54,62,69.1935
55,78,43.0769
56,60,59.85
57,63,50.6349
58,55,62.2182
59,58,58.9655
60,57,63.1404
61,59,48.339
62,46,78.0652
63,57,47.1579
64,42,63.4524
65,41,77.2683
66,48,55.8333
67,40,79.9
68,47,64.5957
69,44,82.7273
70,52,45.0577
71,33,106.9091
72,49,71.5102
73,48,41.625
74,27,75.0
75,27,121.037
76,43,60.8837
77,34,91.7647
78,40,57.275
79,29,102.069
80,37,63.4865
81,29,67.8621
82,24,117.5833
83,34,84.0
84,34,80.0
85,32,107.5
86,40,87.0
87,40,59.4
88,27,85.7037
89,26,69.2308
90,20,141.05
91,31,74.1935
92,25,115.32
93,31,78.8387
94,26,109.6154
95,30,48.0
96,15,200.4667
97,31,72.7097
98,23,133.4348
99,31,51.6129
100,16,164.125
